 # CATAID  RA   DEC Z_TONRY nQ  M_r  DistanceToEdge Completeness DistanceTo5nn SurfaceDensity SurfaceDensityErr SurfaceDensityFlag CountInCyl CountInCylErr CountInCylFlag AGEDenPar  AGEErr AGEScale AGEDenParFlag
   5114903  341.480259300000 -32.61816340000000025 0.17345     4  -21.294   25.99568  1.0000    1.973        0.409    0.0279     0     1.000     1.0     0    0.012    2.000    1.000     0
   5111306  340.542415100000 -33.34096190000000348 0.17333     4  -20.013   16.02406  1.0000    5.987        0.044    0.0025     0     1.000     1.0     0    0.251    2.000    1.200     0
   5106272  340.307586900000 -31.31696020000000047 0.17288     4  -22.276   13.85699  1.0000    4.331        0.085    0.0078     0     2.000     1.4     0    0.239    2.000    1.200     0
   5157773  346.017031000000 -32.04590859999999708 0.17269     4  -19.848   25.35233  1.0000    3.681        0.117    0.0069     0     0.000     0.0     0    0.080    1.732    1.000     0
   5145906  344.212917300000 -32.52699460000000187 0.17245     4  -20.501   30.60400  1.0000    2.242        0.317    0.0152     0     2.000     1.4     0    0.119    2.828    1.000     0
   5156764  346.033327700000 -32.24446199999999862 0.17215     4  -20.101   27.72850  1.0000    4.028        0.098    0.0069     0     0.000     0.0     0 -999.900 -999.900    1.000     2
   5131643  342.143066500000 -31.15551699999999968 0.17765     4  -21.270   14.71183  1.0000    3.708        0.116    0.0109     0     1.000     1.0     0    0.155    2.828    1.000     0
   5101018  339.680954400000 -32.42981770000000097 0.17038     4  -20.903    7.03100  1.0000    9.282        0.006 -999.9000     2     0.000     0.0     0    0.044    1.414    1.000     0
   5141570  343.333227800000 -32.36567099999999897 0.17033     4  -20.354   28.93105  1.0000    3.567        0.125    0.0265     0     2.000     1.4     0    0.361    3.162    1.200     0
   5113626  340.971452500000 -32.87244679999999875 0.17242     4  -21.070   20.48753  1.0000    3.099        0.166    0.1403     0     2.000     1.4     0    0.249    2.449    1.000     0
   5146610  344.843356800000 -32.36315419999999676 0.16917     4  -20.340   28.71148  1.0000    1.166        1.170    0.4826     0     4.000     2.0     0    0.559    2.646    1.200     0
   5111476  340.696710600000 -33.30800680000000114 0.16914     4  -19.555   17.22550  1.0000    4.889        0.067    0.0064     0     0.000     0.0     0    0.052    1.732    1.000     0
   5106443  340.750082800000 -31.28087989999999863 0.17461     4  -22.141   16.04075  1.0000    1.395        0.818    0.0802     0     0.000     0.0     0    1.291    4.243    1.800     0
   5158677  345.443475300000 -31.86008470000000159 0.16906     4  -22.002   22.58546  1.0000    0.501        6.352    4.0386     0     8.000     2.8     0    0.318    3.742    1.200     0
   5115993  341.503027200000 -32.39356539999999995 0.16881     4  -21.696   25.62574  1.0000    7.795        0.026    0.0023     0     0.000     0.0     0 -999.900 -999.900    1.000     2
   5148166  345.244631400000 -32.06502700000000061 0.16822     4  -20.123   24.95368  1.0000    1.610        0.614    0.0478     0     2.000     1.4     0    0.660    4.472    1.200     0
   5129903  342.110149400000 -31.48414899999999861 0.17670     4  -20.429   18.79990  1.0000    5.291        0.057    0.0005     0     0.000     0.0     0    0.126    2.828    1.000     0
   5147970  345.135737800000 -32.10418419999999884 0.16815     4  -20.647   25.41683  1.0000    2.750        0.210    0.1184     0     1.000     1.0     0    0.661    4.472    1.200     0
   5135847  343.663676500000 -33.39369279999999662 0.17898     4  -19.921   20.59774  1.0000    8.357        0.023    0.0010     0     0.000     0.0     0    0.079    1.000    1.000     0
   5149231  344.156495900000 -31.84236389999999872 0.16764     4  -20.659   22.18923  1.0000    7.865        0.026    0.0019     0     0.000     0.0     0    0.012    1.000    1.000     0
   5146754  344.674210800000 -32.33319199999999682 0.16736     4  -21.563   28.05689  1.0000    2.414        0.273    0.0166     0     1.000     1.0     0    0.596    3.162    1.400     0
   5151899  345.582555700000 -33.28147560000000027 0.16686     4  -20.690   20.60563  1.0000    1.790        0.496    0.0025     0     1.000     1.0     0    0.354    1.732    1.400     0
   5128425  342.628405700000 -32.76212120000000283 0.17847     4  -20.491   28.61856  1.0000    7.162        0.031    0.0029     0     1.000     1.0     0    0.090    1.732    1.000     0
   5113561  340.997814600000 -32.88203500000000190 0.17140     4  -20.644   20.64175  1.0000    2.881        0.192    0.0793     0     3.000     1.7     0    0.429    3.162    1.200     0
