\ EQUINOX = 'J2000.0'
|  region  |  cataid |  ra     |  dec    |
|  char    |  int    |  double |  double |
    G09      218757   140.75621  0.84809
    G09      345974   131.75004  2.04437
    G09      347499   137.94367  2.30107
    G09      348065   140.09571  2.3343
G09	371208	130.50925	1.02071
G09	377212	136.80625	1.64392
G09	377486	137.90642	1.62916
G09	380839	130.27629	1.72911
G09	382857	138.7635	2.04159
G09	383284	140.6575	2.13736
G09	388201	138.99892	2.51429
G09	417645	132.51888	2.29438
G09	419678	140.98671	2.86084
G09	422882	132.81062	2.83784
G09	573657	129.41362	-0.01039
G09	574390	135.66788	-0.13742
G09	575653	140.77658	-0.11463
G09	663372	140.42683	-1.09201
G09	905359	139.63437	-0.60728
G09	3576902	129.95892	-1.63319
G09	3626956	134.23367	-0.80412
G09	3632403	138.10708	-0.95852
G09	3884455	135.10842	-1.60189
G09	3909630	137.37821	-1.17997
G12	7242	176.29229	0.73915
G12	22278	176.96358	1.2031
G12	22559	178.05237	1.05246
G12	71072	182.90017	0.17959
G12	98399	177.78321	0.91949
G12	98624	179.06704	0.99197
G12	99508	183.13442	1.00244
G12	130303	176.78942	-2.18512
G12	131725	182.36783	-2.24046
G12	136800	176.05287	-1.77459
G12	164640	178.14021	-2.71487
G12	185604	180.96967	-1.46278
G12	220682	182.7435	1.59787
G12	220854	183.53083	1.55306
G12	231043	182.16688	1.9984
G12	231307	183.15171	1.97018
G12	231746	185.33296	1.92256
G12	273903	185.65375	1.33724
G12	289278	181.64301	1.74123
G12	402278	174.23017	1.89732
G12	560475	180.41129	-0.48254
G12	560853	181.98808	-0.52788
G12	583469	175.01863	-0.14991
G12	586392	184.62887	-0.18264
G12	586648	185.72429	-0.20906
G12	610029	178.25696	0.30019
G12	690020	179.39604	-1.13984
G12	814991	181.52958	1.93496
G15	14983	213.6345	0.74998
G15	15221	214.61879	0.62943
G15	15554	215.97479	0.67592
G15	48883	218.90542	-0.74389
G15	65298	222.49875	-0.40713
G15	77892	215.20808	0.17706
G15	106821	217.327	0.86711
G15	238715	215.06083	1.60423
G15	239367	217.45604	1.52598
G15	250209	214.17046	2.07386
G15	250487	214.82401	2.12522
G15	251342	218.22696	1.97782
G15	298899	222.14058	1.16504
G15	319348	214.14233	1.86348
G15	319416	214.38538	1.9114
G15	320384	218.13475	1.68924
G15	320557	218.63421	1.78566
G15	342308	215.069	2.22422
G15	460463	212.48058	-1.61746
G15	460713	213.41046	-1.64736
G15	485756	217.11896	-1.79492
G15	508116	215.95117	-1.68131
G15	617535	211.95117	0.23064
G15	617856	213.49346	0.35214
G02	1126606	33.89513	-6.55139
G02	1270758	32.65929	-10.07633
G02	1312058	32.29279	-5.43011
G02	1569977	30.69342	-4.01222
G02	1684064	35.62492	-3.87688
G02	1763319	36.37075	-5.91766
G02	2005629	37.92875	-4.88681
G02	2248952	30.82808	-7.63584
G23	5000687	344.09237	-34.88054
G23	5014213	350.01962	-32.35935
G23	5022159	347.44408	-31.04443
G23	5026858	340.90525	-30.26776
G23	7021723	345.68529	-33.36733
G23	7028850	342.77721	-33.04329
G23	7035191	346.47717	-32.81103
G23	7056621	342.57587	-31.90962
G23	7061088	342.12237	-31.71619
G23	7081863	340.21004	-30.82531
G23	7083868	343.978	-30.75893
G09	300979	131.46746	1.19884
G09	302123	136.46358	1.31167
G09	386427	132.24292	2.24817
G09	387615	137.19829	2.40849
G09	417922	134.097	2.49636
G09	425637	129.15721	2.86991
G09	599770	132.67583	0.34792
G09	622326	132.66296	0.63611
G09	3579777	131.41271	-1.66217
    G09	3890035	138.55021	-1.68663
    G12	39870	178.62517	-0.72424
    G12	289265	181.63046	1.82378
    G12	559147	175.88608	-0.43995
    G12	585446	182.74083	-0.13542
    G12	746445	179.08296	-0.20491
    G15	17244	222.50238	0.81555
    G15	262987	222.23792	2.38034
    G15	298302	219.30533	1.41623
    G15	298316	219.34801	1.28769
    G15	320078	216.84646	1.88291
    G15	362394	214.88958	2.70961
    G15	544875	217.28529	-0.9494
    G15	592207	212.01942	-0.07878
    G02	1537351	30.80412	-6.04563
    G02	1568229	30.69258	-4.13571
    G23	7019633	349.60625	-33.45856
    G23	7032116	341.93799	-32.92324
