 # CATAID  RA   DEC Z_TONRY nQ  M_r  DistanceToEdge Completeness DistanceTo5nn SurfaceDensity SurfaceDensityErr SurfaceDensityFlag CountInCyl CountInCylErr CountInCylFlag AGEDenPar  AGEErr AGEScale AGEDenParFlag
   1075701   34.475497000000  -5.98013599999999990 0.09050     4  -19.483    0.13160  1.0000    2.594       18.381 -999.9000     2     0.000     0.0     1 -999.900 -999.900    1.000     1
   1075757   34.066658000000  -5.97888399999999987 0.07231     4  -19.755    0.11225  1.0000    7.491       25.261 -999.9000     2     0.000     0.0     1 -999.900 -999.900    1.000     1
   1075783   34.919283000000  -5.97943699999999989 0.08999     4  -21.007    0.13547  1.0000    0.677       17.344 -999.9000     2     5.000     2.2     1 -999.900 -999.900    1.400     1
   1075834   34.385910000000  -5.97258099999999992 0.14594     4  -20.649    0.28902  1.0000    3.435        3.811 -999.9000     2     0.000     0.0     1 -999.900 -999.900    1.000     1
   1075847   34.220209000000  -5.97302300000000042 0.13169     4  -20.720    0.25748  1.0000    5.699        4.801 -999.9000     2     0.000     0.0     1 -999.900 -999.900    1.000     1
   1075964   34.813182000000  -5.96646400000000021 0.10127     4  -20.398    0.24796  1.0000    2.588        5.177 -999.9000     2     1.000     1.0     1 -999.900 -999.900    1.000     1
   1076028   34.753401000000  -5.96408900000000042 0.08473     4  -20.120    0.22304  1.0000    0.787        6.399 -999.9000     2     5.000     2.2     1 -999.900 -999.900    1.000     1
   1076112   34.299303000000  -5.95879099999999973 0.04143     4  -16.878    0.12642  1.0000    2.519       19.916 -999.9000     2     1.000     1.0     1 -999.900 -999.900    1.400     1
   1076129   34.238631000000  -5.96122599999999991 0.04153     4  -17.762    0.11923  1.0000    2.555       22.390 -999.9000     2     1.000     1.0     1 -999.900 -999.900    1.400     1
   1076160   34.577546000000  -5.95473099999999977 0.10325     4  -18.872    0.34108  1.0000    1.901        2.736 -999.9000     2     2.000     1.4     1 -999.900 -999.900    1.000     1
   1076197   34.180117000000  -5.95456400000000041 0.13425     4  -19.580    0.44184  1.0000    4.516        1.630 -999.9000     2     1.000     1.0     1 -999.900 -999.900    1.000     1
   1076235   34.856844000000  -5.94994499999999960 0.09319     4  -19.159    0.34122  1.0000    0.878        2.734 -999.9000     2     5.000     2.2     1 -999.900 -999.900    1.000     1
   1076252   34.573092000000  -5.94995600000000024 0.10303     4  -19.226    0.37628  1.0000    1.887        2.248 -999.9000     2     2.000     1.4     1 -999.900 -999.900    1.000     1
   1076431   34.816894000000  -5.95747499999999963 0.10184     5  -22.253    0.31615  1.0000    2.568        3.185 -999.9000     2     1.000     1.0     1 -999.900 -999.900    1.200     1
   1076454   34.044473000000  -5.94026500000000013 0.13965     4  -20.602    0.60344  1.0000    3.238        0.874 -999.9000     2     0.000     0.0     1 -999.900 -999.900    1.000     1
   1076489   34.628326000000  -5.94044099999999986 0.13952     4  -21.519    0.60112  1.0000    2.290        0.881 -999.9000     2     2.000     1.4     1 -999.900 -999.900    1.400     1
   1076629   34.474724000000  -5.93311399999999978 0.10119     4  -20.680    0.49414  1.0000    2.404        1.304 -999.9000     2     1.000     1.0     1 -999.900 -999.900    1.200     1
   1076771   34.934493000000  -5.92644000000000037 0.04135     4  -17.903    0.22524  1.0000    2.726        6.274 -999.9000     2     1.000     1.0     1 -999.900 -999.900    1.600     1
   1076816   34.864036000000  -5.91725800000000035 0.09051     4  -20.525    0.54819  1.0000    0.550        1.059 -999.9000     2     6.000     2.4     1 -999.900 -999.900    2.000     1
   1076820   34.710606000000  -5.92931999999999970 0.14743     4  -22.126    0.75238  1.0000    0.991        0.562 -999.9000     2     5.000     2.2     1 -999.900 -999.900    1.000     1
   1076935   34.608245000000  -5.91245300000000018 0.13943     4  -20.530    0.88305  1.0000    2.420        0.408 -999.9000     2     2.000     1.4     1 -999.900 -999.900    1.400     1
   1076966   34.688152000000  -5.90946100000000030 0.05674     4  -17.995    0.37900  1.0000    5.919        2.216 -999.9000     2     0.000     0.0     1 -999.900 -999.900    1.000     1
   1076980   34.478913000000  -5.91378599999999999 0.10200     4  -21.231    0.64197  1.0000    2.280        0.772 -999.9000     2     1.000     1.0     1 -999.900 -999.900    1.200     1
   1077014   34.867011000000  -5.91354899999999972 0.13981     4  -20.967    0.87432  1.0000    2.603        0.416 -999.9000     2     1.000     1.0     1 -999.900 -999.900    1.400     1
   1077018   34.742293000000  -5.90922199999999975 0.14862     4  -21.159    0.97384  1.0000    0.622        4.108    0.0418     0     6.000     2.4     1 -999.900 -999.900    1.200     1
   1077036   34.465333000000  -5.90233600000000003 0.10049     4  -19.532    0.71666  1.0000    2.161        0.620 -999.9000     2     2.000     1.4     1 -999.900 -999.900    1.000     1
   1077076   34.857918000000  -5.92164200000000029 0.08972     4  -20.701    0.51471  1.0000    0.552        1.201 -999.9000     2     6.000     2.4     1 -999.900 -999.900    1.400     1
   1077099   34.864405000000  -5.91928699999999974 0.09057     4  -22.476    0.53509  1.0000    0.538        1.112 -999.9000     2     6.000     2.4     1 -999.900 -999.900    2.000     1
   1077126   34.755968000000  -5.90449999999999964 0.08349     4  -21.707    0.58464  1.0000    0.438        8.282    0.6339     0     5.000     2.2     1 -999.900 -999.900    1.600     1
   1077145   34.771211000000  -5.90410599999999963 0.14808     4  -21.936    1.02513  1.0000    0.523        5.809    0.2963     0     6.000     2.4     0 -999.900 -999.900    1.600     1
   1077164   34.800258000000  -5.90273299999999956 0.14683     4  -21.454    1.03135  1.0000    0.632        3.987    0.3117     0     6.000     2.4     0 -999.900 -999.900    1.200     1
   1077194   34.666403000000  -5.89374999999999982 0.13964     4  -20.911    1.07326  1.0000    2.026        0.276 -999.9000     2     3.000     1.7     0 -999.900 -999.900    1.600     1
   1077203   34.787804000000  -5.91047299999999964 0.14802     5  -22.772    0.95669  1.0000    0.625        4.079    0.6788     0     6.000     2.4     1 -999.900 -999.900    1.200     1
   1077221   34.777119000000  -5.89976500000000037 0.08337     4  -20.407    0.61269  1.0000    0.419        9.074    0.4732     0     5.000     2.2     1 -999.900 -999.900    1.800     1
   1077223   34.852265000000  -5.90440900000000024 0.09047     4  -21.309    0.63304  1.0000    0.590        4.565    1.6493     0     6.000     2.4     1 -999.900 -999.900    2.000     1
   1077279   34.561994000000  -5.88873800000000003 0.13920     4  -20.108    1.12046  1.0000    1.789        0.254 -999.9000     2     2.000     1.4     0 -999.900 -999.900    1.400     1
   1077298   34.450620000000  -5.88523999999999958 0.17465     4  -20.401    1.43754  1.0000    5.869        0.154 -999.9000     2     0.000     0.0     0 -999.900 -999.900    1.000     1
   1077318   34.706050000000  -5.88706599999999991 0.04171     4  -17.272    0.34875  1.0000    1.926        2.617 -999.9000     2     2.000     1.4     1 -999.900 -999.900    1.600     1
   1077323   34.189382000000  -5.88758900000000018 0.10278     4  -19.742    0.84323  1.0000    3.485        0.448 -999.9000     2     0.000     0.0     1 -999.900 -999.900    1.000     1
   1077409   34.679474000000  -5.89162699999999973 0.04147     4  -18.134    0.33275  1.0000    1.981        2.875 -999.9000     2     2.000     1.4     1 -999.900 -999.900    1.600     1
   1077418   34.889059000000  -5.88017900000000004 0.09019     4  -20.041    0.79110  1.0000    0.342       13.630    0.0388     0     7.000     2.6     1 -999.900 -999.900    2.400     1
   1077486   34.469826000000  -5.89446300000000001 0.10106     5 -999.900    0.77871  1.0000    2.115        0.525 -999.9000     2     2.000     1.4     1 -999.900 -999.900    1.200     1
   1077496   34.792023000000  -5.87253100000000039 0.14792     4  -19.822    1.36125  1.0000    0.408        9.577    0.8727     0     6.000     2.4     0 -999.900 -999.900    1.400     1
   1077503   34.769869000000  -5.87313900000000011 0.08291     4  -20.173    0.77125  1.0000    0.562        5.042    9.3531     0     5.000     2.2     1 -999.900 -999.900    1.400     1
   1077517   34.906956000000  -5.87734600000000018 0.08985     4  -20.459    0.80683  1.0000    0.676        3.479    1.6494     0     7.000     2.6     1 -999.900 -999.900    1.400     1
   1077518   34.846150000000  -5.87324599999999997 0.13989     4  -20.739    1.28262  1.0000    2.427        0.193 -999.9000     2     1.000     1.0     0 -999.900 -999.900    1.400     1
   1077530   34.762402000000  -5.87873000000000001 0.08399     4  -20.921    0.74675  1.0000    0.529        5.698    4.6866     0     5.000     2.2     1 -999.900 -999.900    1.000     1
   1077595   34.968757000000  -5.87536599999999964 0.14837     4  -21.292    1.33482  1.0000    2.241        0.179 -999.9000     2     0.000     0.0     0 -999.900 -999.900    1.200     1
   1077596   34.808517000000  -5.87216100000000019 0.14855     4  -21.353    1.37080  1.0000    0.810        2.423    0.9319     0     5.000     2.2     0 -999.900 -999.900    1.600     1
   1077792   34.759034000000  -5.85950500000000041 0.14694     4  -20.764    1.49078  1.0000    0.632        3.982    0.3359     0     6.000     2.4     0 -999.900 -999.900    1.200     1
   1077979   34.475220000000  -5.85628399999999960 0.14803     4  -22.156    1.53580  1.0000    2.020        0.135 -999.9000     2     0.000     0.0     0 -999.900 -999.900    1.400     1
   1078045   34.638104000000  -5.84199399999999969 0.14760     3  -19.830    1.68381  1.0000    1.296        0.948    0.0371     0     3.000     1.7     0 -999.900 -999.900    1.600     1
   1078104   34.366320000000  -5.83825000000000038 0.10258     4  -18.563    1.21107  1.0000    2.251        0.217 -999.9000     2     0.000     0.0     0 -999.900 -999.900    1.200     1
   1078125   34.794673000000  -5.84412600000000015 0.08344     4  -21.228    0.95357  1.0000    0.776        2.645    1.9950     0     5.000     2.2     1 -999.900 -999.900    1.600     1
   1078139   34.792009000000  -5.83840200000000031 0.09049     4  -20.342    1.07038  1.0000    0.800        2.486    0.0058     0     5.000     2.2     0 -999.900 -999.900    2.000     1
   1078241   34.796564000000  -5.83187899999999981 0.09085     4  -19.017    1.11792  1.0000    0.734        2.952    0.2551     0     6.000     2.4     0 -999.900 -999.900    2.200     1
   1078307   34.376219000000  -5.83034400000000019 0.07382     4  -20.189    0.92031  1.0000    8.369        0.376 -999.9000     2     0.000     0.0     1 -999.900 -999.900    1.000     1
   1078373   34.622200000000  -5.82918999999999965 0.14826     4  -22.009    1.82809  1.0000    1.539        0.672    0.0502     0     2.000     1.4     0 -999.900 -999.900    1.800     1
