     cataidGAMA  gama_z   logMstarGAMA    dellogm     neff
     5131946     0.1109    10.0322     0.0403     4.44
     5131955     0.2416    10.7618     0.0776     3.84
     5131963     0.1141     9.5605     0.1719    29.11
     5131964     0.1130    10.1389     0.1330     5.91
     5131965     0.1154     9.3855     0.0848   126.65
     5131966     0.1116     9.5754     0.1262    26.38
     5131975     0.1760    10.1988     0.0860    35.65
     5131977     0.1132     9.5630     0.1299    59.61
     5131988     0.2452    10.2403     0.1608   105.16
     5131990     0.1247     9.6888     0.0834    39.52
     5131992     0.1863     9.9843     0.0932   100.18
     5131995     0.2393    10.5185     0.0543     8.33
     5132000     0.2530    10.1066     0.1028   120.32
     5132005     0.2199    10.2766     0.0607     1.78
     5132007     0.1793    10.1824     0.1042    17.00
     5132012     0.1116    10.2790     0.0466     1.15
     5132017     0.2469    11.1007     0.0438     7.91
     5132020     0.1110     9.6613     0.2010    21.69
     5132023     0.1133     9.8422     0.4751     1.73
     5132024     0.1139     9.8560     0.1403    14.22
     5132028     0.2148     9.8896     0.0356     1.13
     5132033     0.2409    10.3768     0.1952    23.87
     5132043     0.2478    10.7593     0.0638    10.38
     5132048     0.2778    10.7321     0.0561     7.23
     5132052     0.2031    10.9513     0.0471     1.80
     5132056     0.1072     9.0992     0.1051   159.53
     5132057     0.2133    10.3957     0.0999    31.11
     5132063     0.2146    11.0369     0.0425     1.18
     5132066     0.2221    10.6252     0.0125     1.01
     5132067     0.6343    10.8843     0.0697     3.50
     5132071     0.0426     8.8882     0.1097     6.53
     5132074     0.2089    10.1362     0.1046    19.74
     5132086     0.2802    10.8678     0.1060     1.35
     5132090     0.2818    11.3166     0.0655     1.43
     5132091     0.1140     9.8655     0.1150     4.50
     5132097     0.1128     9.5647     0.1075    67.83
     5132101     0.4362    11.2620     0.0663    12.07
     5132102     0.1156     9.6809     0.1038    27.73
     5132105     0.1527    10.8579     0.0029     1.02
     5132106     0.6402    11.0282     0.0120     1.00
     5132109     0.2561    10.5429     0.1088     5.47
     5132111     0.1143     9.9817     0.0372     1.01
     5132112     0.3719    10.6859     0.0765    16.19
     5132122     0.2387    10.6181     0.0612     6.37
     5132128     0.3717    10.8174     0.0726    52.61
     5132129     0.2592    10.4816     0.0722     1.09
     5132130     0.2381    10.6552     0.0793    11.92
     5132132     0.2815    10.6634     0.0750    30.53
     5132134     0.2565    10.2253     0.1568    38.43
     5132143     0.2139    10.6919     0.0656     5.30
     5132144     0.2584    10.3478     0.1129    54.99
     5132146     0.2155    10.8068     0.0519     2.78
     5132150     0.2100    10.2890     0.1045    73.52
     5132162     0.2470    10.7129     0.0700    31.12
     5132163     0.2091    10.2479     0.0722    44.20
     5132169     0.2042    10.4458     0.0686    11.79
     5132172     0.2184    10.9067     0.0376     5.66
     5132176     0.1789    10.4833     0.0514     4.59
     5132178     0.2375    11.2570     0.0120     1.06
     5132182     0.0924    10.9154     0.0325     1.86
     5132188     0.2588    10.4506     0.0906     7.40
     5132190     0.1163     9.2727     0.0993   248.26
     5132191     0.2226    10.5985     0.0908    16.75
     5132192     0.3265    10.4593     0.0807     8.39
     5132193     0.2592    10.1425     0.0950   103.50
     5132198     0.4369    11.0422     0.0708    17.36
     5132199     0.0943     9.1818     0.1017   134.77
     5132205     0.1062     9.1145     0.1075   173.01
     5132207     0.1161    10.4945     0.0288     1.45
     5132212     0.3075    10.3766     0.0963    17.90
     5132235     0.1120     9.2344     0.1014   259.61
     5132239     0.1109     9.8982     0.0667     4.86
     5132245     0.2390    10.4621     0.0389     6.41
     5132259     0.2071    10.6558     0.0535     6.74
     5132265     0.1227    10.4065     0.0322     2.01
     5132267     0.1169     9.3909     0.1378    41.85
     5132268     0.1807    10.2573     0.0991    16.06
     5132272     0.1866    10.6743     0.0640     6.77
     5132275     0.1114    10.5223     0.0023     1.00
     5132276     0.2389    10.0525     0.0878    75.93
     5132283     0.2050    10.5694     0.0735    12.14
     5132284     0.0917    10.8031     0.0009     1.00
     5132286     0.2412    10.1372     0.0946   106.93
     5132287     0.2113     9.8933     0.1019   123.93
     5132288     0.0585     9.9059     0.0728     2.38
     5132293     0.2140    10.8366     0.0148     3.91
     5132299     0.0918    10.1776     0.0175     1.49
     5132302     0.1255     9.8253     0.2329     1.19
     5132303     0.2386    10.2394     0.2817     4.59
     5132306     0.2230     9.9920     0.1111    99.25
     5132314     0.3201    10.9354     0.1093     5.52
     5132319     0.1270     9.7587     0.0876    28.64
     5132323     0.2131    10.1833     0.0942    44.86
     5132327     0.1129     9.3382     0.1486     7.03
     5132331     0.0812    11.1194     0.0000     1.00
     5132337     0.1249    10.0357     0.0243     1.44
     5132338     0.1275     9.6438     0.0827    47.33
     5132342     0.0931     9.4646     0.1902     8.18
     5132352     0.2817    11.0631     0.0236     2.82
     5132353     0.1776    10.0158     0.0784    34.61
     5132359     0.0932    10.5049     0.0402     2.94
     5132360     0.0922    10.3527     0.0082     1.35
     5132361     0.2049    10.3141     0.1030    46.90
     5132363     0.0978    10.3114     0.0153     1.05
     5132364     0.2525    10.5454     0.0748     7.23
     5132366     0.3193    10.3254     0.0743    58.00
     5132370     0.1270     9.4397     0.1058   272.90
     5132384     0.1260    10.3018     0.0251     1.69
     5132390     0.1826    10.2307     0.0712    31.43
     5132394     0.1820    10.6096     0.0296     1.69
     5132399     0.2379    10.6641     0.0667    33.12
     5132402     0.2393    10.4484     0.1702    30.99
     5132405     0.2377    11.0389     0.0253     1.15
     5132406     0.1825    10.1970     0.0835    11.84
     5132409     0.1119    10.5747     0.0176     1.50
     5132410     0.2379    10.4917     0.1463    26.19
     5132411     0.1281     9.5187     0.1122   133.13
     5132413     0.2394    10.7889     0.0625     7.72
     5132417     0.1733    11.1960     0.0179     1.66
     5132421     0.1530    10.1451     0.0728     1.36
     5132427     0.2047    10.0315     0.0809   124.84
     5132428     0.3121    11.0243     0.0456     4.54
     5132433     0.2884    10.9004     0.0670     9.42
     5132436     0.0806     9.5624     0.0105     1.00
     5132438     0.1856    10.8478     0.0866     3.68
     5132449     0.2600    10.6325     0.0830    57.55
     5132450     0.2540    10.9479     0.0371     4.42
     5132451     0.3101    10.7897     0.0673    28.46
     5132454     0.2877    10.6241     0.0694    49.62
     5132462     0.1858    10.1888     0.1235     6.16
     5132464     0.0925    10.1053     0.0358     1.28
     5132469     0.2878    10.4161     0.0635   133.32
     5132470     0.2383    10.3834     0.2000     8.73
     5132476     0.2564    10.8999     0.0486     6.19
     5132477     0.3108    10.6917     0.0745    35.06
     5132480     0.7033    10.8118     0.0002     1.00
     5132481     0.1142    10.2476     0.0118     2.02
     5132483     0.2109    10.2418     0.1113    70.24
     5132486     0.2892    10.9618     0.0449     6.05
     5132498     0.0787     9.9635     0.0140     1.49
     5132499     0.3757    10.8033     0.0751    23.64
     5132501     0.1245    10.3268     0.0426     3.05
     5132506     0.2819    11.1059     0.0536     7.08
     5132511     1.1450        nan        nan      nan
     5132513     0.0814    10.2157     0.0096     1.13
     5132514     0.1121     9.6293     0.0805    59.45
     5132527     0.3121    10.9263     0.0424    29.59
     5132536     0.1485    10.1332     0.2404     5.38
     5132541     0.2415    11.2778     0.0843     2.06
     5132546     0.3574    11.0400     0.0424    27.09
     5132547     0.1259    10.0935     0.1475     2.48
     5132549     0.1267    10.4226     0.0435     1.23
     5132553     0.3423    10.8976     0.0608    10.14
     5132554     0.1123     9.8783     0.0868     6.32
     5132556     0.1140     9.4102     0.1076   148.80
     5132559     0.0916     9.1489     0.1043   125.58
     5132560     0.2418    10.7339     0.0716     1.59
     5132561     0.2049    10.9217     0.0508     1.40
     5132564     0.2899    10.7297     0.0781    76.07
     5132566     0.2531    10.6694     0.0901    23.98
     5132570     0.4216    11.3226     0.0351     3.63
     5132571     0.2068    10.1709     0.0794    42.73
     5132576     0.1111     9.3953     0.0936   133.10
     5132583     0.2473    10.6146     0.0632     1.70
     5132586     0.2812    10.9532     0.0157     1.46
     5132594     0.0821    10.6454     0.0181     1.89
     5132600     0.2590    10.3766     0.1036    45.46
     5132601     0.2592    11.0865     0.0113     2.55
     5132602     0.3448    10.9517     0.2121     9.36
     5132604     0.0809     9.9243     0.0451     4.11
     5132612     0.2118    10.5096     0.1035    14.50
     5132622     0.2583    10.2808     0.0944   117.49
     5132623     1.6723        nan        nan      nan
     5132635     0.1492    10.2155     0.0800    12.80
     5132640     0.4369    10.9043     0.0652     9.98
     5132642     0.3870    11.1431     0.0292     3.00
     5132645     0.3079    10.4935     0.0715    72.71
     5132646     0.0816     9.6293     0.1339    12.34
     5132669     0.2118    10.7482     0.0492     8.29
     5132674     0.1121     9.5870     0.1673    44.10
     5132675     0.0937    10.0990     0.0053     1.01
     5132681     0.4212    11.1052     0.0863    19.08
     5132688     0.0582     9.1590     0.1600     8.07
     5132695     0.2811    10.4676     0.0634    60.75
     5132696     0.2414    10.1672     0.1001   113.62
     5132709     0.0603     9.1497     0.0768    22.28
     5132712     0.1492    10.1328     0.0707    21.04
     5132728     0.2416    10.9383     0.1272     4.01
     5132733     0.2204    10.2939     0.0912    22.04
     5132735     0.6219    10.5408     0.0283     1.01
     5132737     0.2109    10.5725     0.0695    12.09
     5132746     0.1863     9.9519     0.0910    45.56
     5132748     0.2121    11.2035     0.0100     1.05
     5132754     0.2111    10.5466     0.0838     1.89
     5132756     0.2843    10.6515     0.0726    48.05
     5132760     0.2057    10.4468     0.0740    34.46
     5132768     0.2067    11.0024     0.0068     1.59
     5132773     0.2377    10.7031     0.0479     5.98
     5132774     0.2077    10.4771     0.0627    14.78
     5132780     0.2066    10.8910     0.0176     2.31
     5132782     0.1120     9.8627     0.0954     5.84
     5132786     0.0805     8.9555     0.1284    79.64
     5132787     0.2115    10.9160     0.0739     3.30
     5132802     0.2172    10.3519     0.0773    27.28
     5132806     0.2069    10.8904     0.0552    10.00
     5132808     0.0812    10.1350     0.0776     2.34
     5132811     0.2079    10.4968     0.0568     2.99
     5132813     0.2087    10.4073     0.0839     3.65
     5132817     0.2183    10.6940     0.0612     6.97
     5132824     0.1813    10.0490     0.0818    36.58
     5132827     0.2806    10.7404     0.0627    21.63
     5132830     0.2116    10.5735     0.0827    18.86
     5132834     0.2775    10.8810     0.0473     4.37
     5132835     0.1834    10.4022     0.0637     3.19
     5132843     0.1250     9.4878     0.1246   149.16
     5132845     0.2826    10.6944     0.0722    31.52
     5132846     0.2411    10.7982     0.0483     7.37
     5132854     0.2790    11.0886     0.0511     1.08
     5132855     0.2978    10.7069     0.0617    65.72
     5132856     0.2085    10.5306     0.0754    25.37
     5132857     0.1728     9.5677     0.1010   307.95
     5132860     0.2758    10.6354     0.0564    14.73
     5132867     0.4213    10.6381     0.0563    29.86
     5132876     0.2540     9.6462     0.1103    53.75
     5132897     0.0987    10.4416     0.0012     1.01
     5132898     0.0811     8.9306     0.1197   183.21
     5132901     0.2177    10.7440     0.0244     4.32
     5132903     0.2833    10.5830     0.0831    50.42
     5132913     0.2592    10.7293     0.0884    11.94
     5132918     0.2092    10.5587     0.0741    18.38
     5132924     0.2165    10.6261     0.0431     3.00
     5132935     0.2470    10.6665     0.1475     2.02
     5132936     0.2074    10.9332     0.0298     2.21
     5132937     0.2046    11.0128     0.0263     1.25
     5132939     0.2775    10.3758     0.0947    43.60
     5132940     0.2811    10.8058     0.0626    14.24
     5132943     0.2167    11.0803     0.0005     1.00
     5132955     0.0901    10.0429     0.0403     3.64
     5132956     0.2058    11.0479     0.0083     1.01
     5132971     0.2769    10.4689     0.1190     1.10
     5132974     0.2090    10.4696     0.0715    11.72
     5132975     0.0517    10.1635     0.0179     1.03
     5132976     0.2795    10.6985     0.0745    13.92
     5132983     0.2052    11.0239     0.0199     1.31
     5132988     0.2056    10.2932     0.1224    12.31
     5132991     0.0719     8.9519     0.0993    78.26
     5133000     0.2589    10.8669     0.0370     4.71
     5133005     0.2888    11.2570     0.1855     1.32
     5133010     0.2184    10.5153     0.0869    46.55
     5133012     0.1242    10.5908     0.0049     1.00
     5133016     0.2525    10.9374     0.1205     7.33
     5133018     0.4676    10.9626     0.0529     3.21
     5133019     0.2540    10.5319     0.1849    43.35
     5133035     0.2059    10.2676     0.0689     8.24
     5133036     0.2126    10.5508     0.0578     3.91
     5133037     0.2823    11.5928     0.0405     1.07
     5133050     0.1845    10.3221     0.0452     2.27
     5133054     0.1533     9.8004     0.1090   100.55
     5133055     0.7706        nan        nan      nan
     5133060     0.1831    10.0597     0.0739    53.99
     5133078     0.2897    10.8974     0.0642     9.60
     5133083     0.2824    10.7087     0.0611     8.89
     5133087     0.2470    10.9478     0.0516     2.97
     5133106     0.2055    10.0122     0.0989    66.45
     5133108     0.1128    10.4335     0.0169     1.70
     5133114     0.2812    10.6747     0.0662    20.16
     5133115     0.2905    10.8200     0.0576    16.52
     5133118     0.2183    10.3896     0.0920    16.87
     5133120     0.1258     9.3149     0.1163   241.94
     5133128     0.2828    10.7666     0.0560     4.77
     5133139     0.2053    10.5617     0.0570     5.75
     5133148     0.4224    11.1187     0.0722    16.00
     5133153     0.1758    10.2028     0.1208     1.53
     5133159     0.2034    10.0111     0.0814    59.40
     5133164     0.2810    10.8614     0.1536     1.87
     5133165     0.0932     9.3226     0.1380    33.69
     5133171     0.1784    10.1068     0.0771    26.23
     5133176     0.1169     9.7953     0.1183    28.96
     5133178     0.2807    10.8529     0.0373     4.48
     5133179     0.1135     9.2780     0.0985   276.84
     5133184     0.2083    10.3086     0.0486    12.85
     5133190     0.2062    10.5376     0.1249     2.25
     5133194     0.2078    10.2056     0.0676    17.91
     5133199     0.1262    10.5480     0.0135     1.26
     5133208     0.2056    10.6659     0.0297     1.36
     5133212     0.1523    11.0285     0.0482     2.45
     5133213     0.2059    10.5209     0.0673     4.92
     5133225     0.3568    11.0001     0.0376     5.55
     5133240     0.1347    10.4337     0.2372     3.19
     5133241     0.2889    10.8308     0.0602    20.98
     5133242     0.2070    10.3760     0.0804     4.83
     5133245     0.1349     9.7617     0.0000     1.00
     5133246     0.1860    10.7720     0.0349     2.75
     5133253     0.1221     9.3201     0.1044   283.18
     5133260     0.2102    10.4632     0.0669     7.75
     5133268     0.2050    10.2596     0.0819    28.18
     5133277     0.4157    10.7688     0.0584    48.97
     5133288     0.2548    10.2980     0.1524    68.50
     5133289     0.2815    10.3213     0.0764    69.95
     5133295     0.1176    10.0115     0.1312     4.30
     5133302     0.3850    10.7337     0.0683    28.74
     5133311     0.1858    10.0147     0.0887    70.87
     5133313     0.2101    10.3307     0.0957    10.99
     5133315     0.2794    10.5102     0.0682    18.11
     5133317     0.1757     9.6743     0.1083   194.50
     5133319     0.2811    10.6236     0.0675    13.14
     5133331     0.1861    10.2914     0.0542     2.43
     5133332     0.1243     9.7484     0.1267    65.48
     5133333     0.4660    10.7971     0.0707    21.51
     5133340     0.3767    10.9557     0.0581    32.40
     5133343     0.1858     9.7142     0.1022   138.20
     5133344     0.2176     9.8941     0.0996   147.74
     5133346     0.2968    10.5750     0.0714     7.05
     5133349     0.2411     9.7646     0.1019   115.89
     5133358     0.1340    10.5161     0.0758     2.72
     5133363     0.2747    11.1483     0.0819     2.45
     5133366     0.1236     9.1443     0.1160   121.67
     5133367     0.2627    10.3639     0.0931    83.99
     5133368     0.1125    10.3415     0.0868     1.90
     5133371     0.0732     9.4952     0.0458     5.66
     5133373     0.2074    10.6837     0.0440     2.58
     5133374     0.1855     9.7489     0.1135     1.06
     5133377     0.1255     9.4002     0.0947   291.31
     5133381     0.2144    10.8833     0.0481     7.99
     5133388     0.1854    10.7217     0.0355     2.98
     5133391     0.2904    10.9468     0.0569     3.09
     5133404     0.1858     9.9366     0.0985   140.51
     5133412     0.0971     9.2540     0.1310    61.72
     5133416     0.1528     9.8369     0.2430    36.32
     5133431     0.1859    10.2320     0.0433     2.44
     5133433     0.0795    10.3739     0.0155     1.01
     5133439     0.2904    10.7268     0.0864    12.40
     5133441     0.2408    10.2644     0.2207    22.03
     5133444     0.2053    10.9225     0.0036     1.00
     5133448     0.2177    10.9079     0.0053     1.24
     5133452     0.2551    10.7631     0.0615     2.30
     5133455     0.2016     9.7210     0.2161     5.47
     5133462     0.3483    10.2310     0.0194     1.27
     5133466     0.1858     9.4202     0.0988    83.06
     5133470     0.2888    10.9545     0.0506    15.40
     5133478     0.1135     9.8328     0.1246    15.71
     5133491     0.1119     9.7057     0.1784     6.98
     5133492     0.2081    10.4023     0.0928    16.65
     5133495     0.2540    10.8506     0.0348     2.52
     5133501     0.2157    10.6221     0.0524    10.07
     5133503     0.2812    10.8395     0.0581     3.36
     5133504     0.6588    10.8750     0.1348     1.10
     5133507     0.2059    10.6693     0.0273     3.63
     5133513     0.2748    10.8511     0.0485     4.78
     5133518     0.2392    10.3217     0.1288    35.22
     5133526     0.4206    11.3108     0.0158     1.20
     5133530     0.2077    11.3438     0.0000     1.00
     5133534     0.3114    10.9596     0.0391    18.28
     5133540     0.2245    10.5257     0.0628    16.45
     5133549     0.2898    10.9290     0.0536     4.15
     5133550     0.2115    10.2927     0.0588     7.12
     5133558     0.2480    10.6395     0.0738    29.36
     5133560     0.1255     9.5646     0.2317    11.15
     5133563     0.3771    10.8791     0.0589    13.32
     5133565     0.2058    10.4943     0.1064     2.89
     5133566     0.2054    10.3390     0.0865    34.47
     5133567     0.1255     9.9113     0.0755     4.28
     5133568     0.2486     9.8168     0.0983    77.94
     5133573     0.2298    10.3694     0.0895    23.63
     5133578     0.1997     9.8151     0.0995   139.86
     5133596     0.2210    10.5063     0.0837     4.93
     5133601     0.2478    10.6890     0.0777    18.13
     5133604     0.2208    10.4515     0.0627     9.19
     5133612     0.2082    10.7996     0.0465     3.34
     5133617     0.1340     9.7302     0.1397    62.95
     5133618     0.1864     9.5032     0.1303    16.94
     5133619     0.2817    10.4584     0.0772    21.55
     5133628     0.2822    10.9903     0.0322     2.29
     5133635     0.1177    10.4333     0.0281     1.20
     5133638     0.1855     9.3927     0.1087    64.10
     5133643     0.1889     9.5179     0.0911    16.87
     5133660     0.4159    11.0699     0.0570    17.56
     5133661     0.2080    10.8708     0.0642     1.82
     5133664     0.2898    10.7555     0.0442     5.71
     5133671     0.2410    10.4269     0.0804    13.03
     5133674     0.2896    10.6520     0.0561    29.48
     5133677     0.2054    10.6420     0.0311     1.42
     5133684     0.3770    10.8335     0.0428    13.93
     5133687     0.2841    10.8448     0.0266     1.04
     5133689     0.2748    10.6475     0.0728     3.24
     5133706     0.0282     8.0452     0.1374    33.19
     5133717     0.0796     9.0909     0.1307   139.49
     5133719     0.2019    10.0491     0.1835     2.31
     5133724     0.2179    10.2530     0.0682    15.30
     5133726     0.4464    11.1833     0.0260     2.02
     5133734     0.2371    10.5685     0.1820     1.73
     5133736     1.4757        nan        nan      nan
     5133740     0.2084    11.0681     0.0212     1.07
     5133742     0.2404    10.5069     0.1012    14.41
     5133743     0.2092    10.3766     0.0917    29.87
     5133745     0.2393    10.0287     0.1577    34.05
     5133746     0.1863    10.4593     0.0943     4.95
     5133749     0.1869    10.8307     0.0179     1.12
     5133751     0.2083    10.5755     0.0788    13.08
     5133752     0.3579    10.4304     0.0861    25.35
     5133754     0.2014     9.5483     0.1069    88.14
     5133756     0.2082    10.6052     0.0161     1.03
     5133757     0.2106    10.6131     0.0695    14.00
     5133764     0.3002    11.1001     0.0333     2.27
     5133767     0.2560    10.5104     0.0763    15.74
     5133780     0.4368    11.0309     0.0251     1.01
     5133790     0.1486     9.8614     0.0924    20.96
     5133791     0.2816    10.6578     0.0617    21.77
     5133797     0.1183     9.4689     0.2058    10.02
     5133798     0.2092    10.7004     0.0274     2.54
     5133799     0.2129    10.3157     0.0789     1.08
     5133804     0.2131    11.1920     0.0004     1.00
     5133807     0.2482    10.6838     0.0502    10.09
     5133810     0.2416    11.0806     0.0341     1.52
     5133812     0.1866    10.4346     0.0713     4.12
     5133816     0.2105    10.6375     0.0543     4.26
     5133825     0.2087    10.8787     0.0377     6.13
     5133839     0.0730     9.7941     0.0430     2.77
     5133846     0.2543    10.9823     0.0473     6.85
     5133848     0.3125    11.1472     0.0542     6.86
     5133853     0.2241    10.9111     0.0194     2.53
     5133855     0.2084    10.9870     0.0738     2.20
     5133860     0.3107    10.7354     0.0804    20.70
     5133868     0.0293     8.2141     0.1103    30.22
     5133873     0.1227    10.5195     0.0189     2.50
     5133877     0.2090    10.9200     0.0140     2.96
     5133879     0.1182    10.3466     0.0194     1.56
     5133885     0.1129     9.9632     0.0563     4.73
     5133893     0.3275     9.8873     0.1055    12.77
     5133901     0.0675     8.5800     0.1361    11.98
     5133909     0.2527    10.7111     0.0670     7.87
     5133913     0.2181    10.1891     0.0880    84.08
     5133915     0.0674     9.3757     0.2330     6.95
     5133916     0.2406    10.0894     0.4654     9.18
     5133925     0.1871    10.2389     0.0851    25.41
     5133927     0.2265    10.4073     0.0546    10.54
     5133928     0.2046     9.5954     0.1092   111.00
     5133929     1.5452        nan        nan      nan
     5133932     0.1253     9.9866     0.1017    18.91
     5133952     0.1346    10.3532     0.0628     3.16
     5133955     0.4083    11.5604     0.0029     1.06
     5133957     0.1269     9.5143     0.0977   158.36
     5133961     0.4089    10.9390     0.1006    12.24
     5133972     0.2072    10.4865     0.0595    13.23
     5133974     0.1766    10.5614     0.0713     4.23
     5133985     0.1348     9.4265     0.1089   217.15
     5133986     0.1254    10.4051     0.0486     2.20
     5133995     0.2123    10.2807     0.0720    25.06
     5133997     0.2062        nan        nan      nan
     5134003     0.2169    10.3346     0.0800    11.34
     5134015     0.4469    11.4749     0.0554     1.03
     5134042     0.1237     9.9675     0.0435     7.42
     5134043     0.2049    10.0814     0.1220    49.27
     5134046     0.2839    10.6739     0.0678    52.35
     5134049     0.1260     9.7762     0.1079    13.16
     5134055     0.4204    10.8300     0.0618     8.89
     5134081     0.2176     9.8442     0.0926   175.99
     5134082     0.2895    10.9492     0.0508     6.77
     5134083     0.0518    10.1697     0.0082     1.06
     5134088     0.3153    10.6331     0.0646     6.60
     5134099     0.2203    10.5574     0.1775     3.11
     5134100     0.1861    10.7481     0.0514     4.33
     5134103     0.0522     8.8621     0.1106    59.07
     5134104     0.2065    10.6133     0.0659    15.63
     5134106     0.2079    10.4172     0.1208    14.13
     5134109     0.2048    10.2670     0.0851    19.76
     5134110     0.2060    11.1813     0.0042     1.01
     5134120     0.0796     9.3780     0.0278     1.00
     5134129     0.2079    10.5394     0.0714     4.85
     5134134     1.0454        nan        nan      nan
     5134143     0.2856    10.5805     0.0770    56.76
     5134145     0.2088    10.4259     0.0750    37.99
     5134155     0.0738     9.9768     0.0021     1.00
     5134157     0.1135     9.6399     0.0985     4.78
     5134159     0.1136    10.4406     0.0133     1.06
     5134170     0.1867     9.8093     0.0911    85.75
     5134171     0.2080    10.6595     0.0717     8.98
     5134174     0.2171     9.9081     0.0946    99.14
     5134176     0.2408    10.4528     0.0509    10.18
     5134194     0.3883    11.1402     0.0387     3.11
     5134214     0.4087    11.1798     0.0636    10.12
     5134220     0.2236    10.4414     0.0883    19.48
     5134222     0.0976     9.0626     0.1020   179.50
     5134230     0.2483    10.1874     0.2887    13.52
     5134232     0.2477    10.5200     0.0803     9.78
     5134236     0.1494    10.3672     0.0462     5.69
     5134237     0.4105    11.2568     0.0265    12.70
     5134241     0.2265    10.5915     0.0209     1.62
     5134249     0.0974     9.2025     0.1267    42.86
     5134256     0.4099    11.1765     0.0437     6.84
     5134259     0.2479    10.2207     0.1145    54.01
     5134260     0.2017    10.6642     0.0410     2.36
     5134265     0.0523     9.8076     0.0013     1.00
     5134271     0.4374    10.6918     0.0438     2.27
     5134273     0.0521     9.3999     0.0347     2.31
     5134285     0.2824    10.9097     0.0419     5.36
     5134287     0.2205    10.6870     0.0684     7.72
     5134297     0.2261     9.9537     0.1165   103.28
     5134299     0.0720     9.8022     0.0156     1.28
     5134302     1.3054        nan        nan      nan
     5134306     0.2031    10.5757     0.0729    10.71
     5134317     0.2318    10.4849     0.0878    30.03
     5134327     0.0277     8.4608     0.0571     3.05
     5134337     0.2231    10.7732     0.0532     5.65
     5134338     0.2229    10.6064     0.0927    27.34
     5134341     0.4169    11.2073     0.0505     9.83
     5134348     0.2251    10.6593     0.0456     4.48
     5134355     0.2242    11.0102     0.0165     2.91
     5134357     0.0969     9.5872     0.1494     2.78
     5134360     0.2887    10.7085     0.1058     1.72
     5134362     0.2760    10.9241     0.0689     1.46
     5134364     0.2212    10.7140     0.0286     1.96
     5134366     0.1607     9.9269     0.1064    32.25
     5134369     0.2213    10.9003     0.0499     1.15
     5134376     0.2886    10.9287     0.1089     1.74
     5134379     0.2256    10.7783     0.0428     5.65
     5134399     0.2307    10.4716     0.0511     1.00
     5134404     0.2236    10.2006     0.0535     4.27
     5134405     0.1606     9.6944     0.1097   121.32
     5134410     1.6715        nan        nan      nan
     5134412     0.2000    10.6289     0.0619     7.12
     5134417     0.2183     9.8291     0.0944   234.82
     5134419     0.1235     9.1875     0.1155   176.61
     5134425     0.2232    10.5329     0.0448     1.75
     5134426     0.2237    10.2613     0.0814    26.22
     5134430     0.3317    10.8718     0.0678    24.87
     5134445     0.2239    10.1032     0.0930    59.00
     5134447     0.5993    11.0794     0.0349     1.09
     5134449     0.2267    10.3941     0.1106     2.17
     5134451     0.0764     9.2957     0.1004    37.51
     5134469     0.2206    10.1036     0.0906    77.74
     5134470     0.2256    10.5823     0.0350     1.13
     5134480     0.2237    10.6727     0.1033     1.92
     5134495     0.1607    10.6100     0.0307     2.59
     5134499     0.5015    10.7456     0.0618     2.17
     5134501     0.2088    10.7155     0.0937     3.64
     5134502     0.1674    10.6068     0.0284     1.03
     5134503     0.2760    10.2200     0.0662    53.92
     5134506     0.2313    10.1732     0.0738    64.57
     5134516     0.2261    10.4696     0.0917    34.54
     5134524     0.2280    10.5693     0.0575     3.93
     5134529     0.2266    10.7929     0.0290     1.96
     5134530     0.2257    10.6842     0.0703     7.66
     5134533     0.2254    10.3155     0.0858    12.72
     5134537     0.2241    10.5611     0.0908    20.22
     5134539     0.2275    10.8932     0.0907     2.63
     5134541     0.3158    10.4121     0.1322     5.08
     5134544     0.1997    10.8334     0.0061     1.01
     5134553     0.2269    11.1307     0.0132     2.38
     5134554     0.0956     9.7962     0.0465     1.51
     5134557     0.0963    10.8221     0.0057     1.01
     5134558     0.2366    10.7900     0.0313     4.61
     5134561     0.3180    11.2053     0.0773     5.22
     5134563     0.2312    10.6533     0.0786    12.42
     5134570     0.2475    10.6232     0.0813    12.62
     5134581     0.2270    10.1687     0.0709    22.14
     5134582     0.2243    10.9943     0.0187     3.21
     5134584     0.1388     9.4733     0.1019   243.79
     5134587     0.2234    10.5701     0.0703     4.99
     5134588     0.2271    10.3148     0.0787     7.68
     5134590     0.1764    10.0449     0.0953    16.21
     5134591     0.2571    10.9344     0.0239     1.38
     5134600     0.2248    10.8407     0.0455     6.38
     5134601     0.2354    10.5358     0.1191    11.04
     5134604     0.2200     9.9816     0.0838    19.01
     5134605     0.2316    10.5393     0.0709    24.63
     5134607     0.3703    10.5199     0.0755    10.12
     5134610     0.2080    10.5381     0.0719    10.12
     5134613     0.4597    11.0286     0.0918    14.02
     5134614     0.2270    10.6940     0.0407     2.88
     5134617     0.2239    10.2066     0.0866    18.06
     5134619     0.1174     9.4802     0.1013    47.05
     5134628     0.2256    10.3147     0.0605    24.94
     5134630     0.4172    11.3506     0.0410     1.48
     5134631     0.1040     9.3785     0.1016    18.27
     5134632     0.2244    10.8474     0.0522     9.19
     5134640     0.2182    11.0130     0.0194     3.46
     5134642     0.1151    10.6840     0.0632     1.73
     5134647     0.1769    10.5277     0.3416     3.06
     5134652     0.3166    10.7682     0.0473     2.14
     5134653     0.2271    10.7266     0.0593    13.78
     5134665     0.1183    10.6764     0.0179     1.93
     5134666     0.2209    10.8411     0.0994     1.98
