     cataidGAMA  gama_z   logMstarGAMA    dellogm     neff
     5100934     0.1660     9.7411     0.1078   122.60
     5100941     0.1239     9.7876     0.0930    29.81
     5100943     0.3325    10.7619     0.0688     5.94
     5100959     0.2055    10.7490     0.0671     9.31
     5100968     0.1135     9.7372     0.1808     7.84
     5100972     0.3056    10.6487     0.0700    17.13
     5100977     0.3054    11.0005     0.0710    11.21
     5100978     0.1770     9.6124     0.0637     1.02
     5100988     0.1186     9.4847     0.1254    83.88
     5100998     0.0577     9.0766     0.1173    11.27
     5101001     0.1236    10.6945     0.0214     3.05
     5101016     0.1229     9.8487     0.0986    11.79
     5101018     0.1715    10.0580     0.2549     3.87
     5101020     0.2691    10.3915     0.1002    93.77
     5101033     0.3068    10.8749     0.0668    34.12
     5101036     0.0573     8.9696     0.0973    34.45
     5101043     0.0883    10.3918     0.0198     1.95
     5101044     0.0556     9.1493     0.1646     4.90
     5101046     0.0556    10.2492     0.0576     2.10
     5101055     0.1163    10.3235     0.0135     1.04
     5101056     0.1110    10.4794     0.0270     1.53
     5101062     0.2920    10.7720     0.0481     3.20
     5101084     0.3636    10.8611     0.0565    51.17
     5101089     0.0878     9.2366     0.0122     1.38
     5101115     0.1570    11.0566     0.0396     1.55
     5101120     0.2968    11.0456     0.0484     4.05
     5101123     0.1257    10.9665     0.0000     1.00
     5101129     0.2709    10.5144     0.0570    13.32
     5101130     0.1264     9.3771     0.1346     1.04
     5101132     0.1260    10.2897     0.0360     1.94
     5101136     0.1263    10.7530     0.0016     1.00
     5101144     0.3786    11.3084     0.0547     3.23
     5101148     0.1245     9.5078     0.1592    19.03
     5101153     0.1706    10.3624     0.2069     6.00
     5101155     0.3057    10.6790     0.0549     5.73
     5101157     0.4364    11.2254     0.0000     1.00
     5101160     0.0884    10.4074     0.0206     2.01
     5101162     0.2708    10.6885     0.1029    10.60
     5101170     0.1256     9.6369     0.2031    12.03
     5101183     0.2582    10.4299     0.1554    14.32
     5101187     0.0393     8.4022     0.1323    75.32
     5101195     0.1566     9.6937     0.1043   198.14
     5101200     0.2500    10.1511     0.1184    91.85
     5101201     0.1110    10.8840     0.0368     1.06
     5101204     0.1239    11.3237     0.0002     1.00
     5101205     0.1242    10.3994     0.0239     2.03
     5101207     0.2708    11.2381     0.0175     2.38
     5101214     0.2090    10.5058     0.0772    20.82
     5101215     0.1026     9.7726     0.1133     7.71
     5101216     0.0396     8.5361     0.1102     9.77
     5101222     0.1243     9.9924     0.1434     2.09
     5101230     0.1774     9.7376     0.1010   210.17
     5101232     0.1118    10.2868     0.0400     4.70
     5101236     0.1569    10.2435     0.0860     1.51
     5101241     0.0566     8.7266     0.1689    52.76
     5101244     0.1236     9.7045     0.1520    26.80
     5101246     0.1239    10.1924     0.0583     3.98
     5101253     0.1579    10.0852     0.0674     4.54
     5101257     0.1255     9.9656     0.2851     3.27
     5101265     0.0490    10.5521     0.0888     1.88
     5101267     0.1563    10.2700     0.0969     7.37
     5101269     0.1260    10.2039     0.1104     3.66
     5101270     0.3852    11.2271     0.0598     1.92
     5101275     0.2697    10.5011     0.1271    23.15
     5101283     0.1698    10.0908     0.0991    83.99
     5101290     0.1953    10.0700     0.0737   105.91
     5101292     0.0568     9.8414     0.0029     1.00
     5101294     0.2786    10.8324     0.1081     3.05
     5101301     0.0614     9.0738     0.0879    44.74
     5101305     0.1250    10.3550     0.0577     4.83
     5101315     0.2689    10.5423     0.0912    34.92
     5101317     0.2581    10.1758     0.1031   127.54
     5101319     1.7943        nan        nan      nan
     5101323     0.2704    10.8036     0.0491     5.08
     5101325     0.0765     9.1037     0.1063     6.72
     5101326     0.2771    11.0500     0.0490    10.93
     5101327     0.1776    10.6321     0.0983     3.14
     5101330     0.2774    10.5625     0.0801    46.89
     5101332     0.1259    11.0025     0.0176     1.13
     5101347     0.1263     9.9151     0.0987     6.06
     5101362     0.1259    10.4602     0.0291     3.57
     5101364     0.2352    10.1390     0.0943    41.15
     5101366     0.1251     9.6115     0.1323     1.73
     5101367     0.2735    10.9715     0.0559     7.41
     5101380     0.2788    10.5267     0.0730    59.15
     5101389     0.2492    10.3109     0.2242    20.49
     5101394     0.1964    10.1459     0.1197    18.45
     5101397     0.1121     9.7546     0.1053    18.92
     5101405     0.2781    11.1664     0.0226     3.95
     5101415     0.3098    10.8385     0.0622     4.46
     5101427     0.3993    11.0252     0.0409     4.49
     5101435     0.4243    11.1892     0.0628     5.91
     5101439     0.1788    10.3885     0.1110     1.17
     5101444     0.3351    10.8278     0.1437     2.02
     5101456     0.1427    10.6214     0.0517     1.80
     5101459     0.2692    10.7543     0.0714    23.45
     5101472     0.4882    11.4658     0.0348     4.39
     5101475     0.1828    10.7818     0.0108     1.04
     5101476     0.1956     9.7437     0.0994   229.30
     5101480     0.2698    10.1981     0.0813   149.92
     5101481     0.0546     9.9634     0.0144     1.11
     5101485     0.3652    10.9634     0.0188     1.26
     5101496     0.1033     9.7901     0.1295    14.33
     5101500     0.1824    10.1077     0.0842    30.46
     5101501     0.3644    11.1289     0.0458     8.43
     5101502     0.2306    10.4177     0.0851    40.00
     5101512     0.4872    11.3380     0.0233     2.30
     5101520     0.4217    11.1854     0.0448     3.08
     5101535     0.1772     9.7642     0.0915   163.13
     5101538     0.1239     9.4177     0.1008   200.56
     5101542     0.3551    10.8251     0.0626    27.46
     5101549     0.2695    10.8147     0.0642    12.28
     5101552     0.1768    10.3897     0.0611     5.29
     5101560     0.1772    10.9280     0.0095     1.09
     5101562     0.1817     9.7367     0.1018   142.20
     5101564     0.3638    11.0688     0.0364     6.54
     5101566     0.3638    11.0253     0.0989     6.02
     5101575     0.1962    10.1739     0.0953    49.76
     5101580     0.2733    11.1041     0.0404     2.49
     5101588     0.1502    10.0146     0.0711    17.60
     5101589     0.2661     9.9966     0.0852    22.41
     5101594     0.3649    10.9419     0.0616     6.63
     5101618     0.1249    10.4034     0.0135     1.13
     5101638     0.1698     9.8328     0.0955    76.60
     5101639     0.2986    10.6437     0.0515     8.04
     5101641     0.0564    10.2370     0.0009     1.00
     5101645     0.1426     9.9266     0.0954    38.47
     5101664     0.3643    11.0512     0.0394    12.91
     5101672     0.3456    10.7714     0.0687    10.62
     5101675     0.2683    10.6364     0.1242     3.32
     5101677     0.3852    10.7301     0.0603    22.60
     5101678     0.1216     9.4740     0.1081    70.19
     5101688     0.4776    10.9017     0.2421    21.52
     5101689     0.3107    10.8233     0.0589    20.55
     5101702     0.1968    10.1433     0.1337     2.24
     5101708     0.2494    10.1682     0.2390     7.54
     5101716     0.2592    10.0619     0.0896   146.71
     5101718     0.1248     9.7558     0.0956    60.76
     5101720     0.2708    10.5120     0.0939    60.54
     5101724     0.1819     9.7543     0.1010   249.61
     5101729     0.2682    10.5365     0.1268     8.51
     5101733     0.4193    10.9122     0.0537    19.32
     5101750     0.1202     9.8445     0.0953    12.55
     5101765     0.2752    10.1699     0.0850   122.46
     5101769     0.2309    10.6106     0.0487     8.80
     5101775     0.1563    10.2634     0.0830     8.53
     5101779     0.1794     9.8431     0.1132    59.11
     5101782     0.2752    10.8215     0.0607    19.38
     5101786     0.4695    11.2544     0.0776    10.17
     5101787     0.4201    11.2471     0.0427     5.75
     5101792     0.1845     9.5896     0.1150    11.26
     5101793     0.2754    10.8653     0.0420     1.36
     5101802     0.2281     9.9956     0.0901    73.35
     5101805     0.2972    11.2858     0.0644     1.17
     5101835     0.2306    10.4178     0.0584    16.38
     5101850     0.2987    10.4813     0.0728    34.82
     5101854     0.3281    11.1079     0.0611    12.44
     5101855     0.1196    10.3322     0.0478     1.78
     5101869     0.3862    10.4871     0.0809    47.58
     5101879     0.3077    10.2577     0.0831    84.85
     5101880     0.3217    10.7127     0.0907    39.73
     5101882     0.1554    10.1751     0.0935    22.01
     5101883     0.1700     9.6879     0.0994   215.76
