,ra,dec,z1,z2,spec_type,cataid
123,342.5759,-31.9096,0.3876,0.4254,PG+ELG,5229802
112,342.1224,-31.7162,0.2401,0.243,PG+ELG,5230798
122,343.978,-30.7589,0.359,0.7222,PG+ELG,5247328
127,344.0924,-34.8805,0.1993,0.3265,PG+ELG,5251563
120,344.9055,-31.1903,0.1835,0.6495,PG+ELG,5265318
119,345.708,-31.6132,0.1017,0.2789,PG+ELG,5278488
125,346.7303,-34.8736,0.2064,0.4942,PG+ELG,5287452
113,346.6823,-34.8419,0.2036,0.2837,PG+ELG,5287619
110,346.4772,-32.811,0.1879,0.634,PG+ELG,5297680
114,347.4441,-31.0444,0.213,0.235,PG+ELG,5305885
117,348.69,-31.531,0.1955,0.2438,PG+ELG,5327168
111,350.0196,-32.3593,0.2022,0.7854,PG+ELG,5363861
103,345.68529,-33.36733,0.221,0.319,PG+ELG,7021723
104,342.77721,-33.04329,0.321,0.328,PG+ELG,7028850
105,346.47717,-32.81103,0.634,0.188,PG+ELG,7035191
106,342.57587,-31.90962,0.388,0.425,PG+ELG,7056621
107,342.12237,-31.71619,0.24,0.243,PG+ELG,7061088
108,340.21004,-30.82531,0.287,0.217,PG+ELG,7081863
109,343.978,-30.75893,0.359,0.722,PG+ELG,7083868
