,cataid,ra,dec,z1,template1,cc_sigma,z2,template2,cc_sigma.1,spec_id,t1_type,t2_type,spec_type
138,124295,178.9083,-2.5667,0.1786,44,10.2,0.2799,47,11.2,G12_Y6_042_096,ELG,ELG,ELG+ELG
178,543716,212.5997,-0.9272,0.204,44,6.6,0.3573,47,8.3,G15_Y3_048_106,ELG,ELG,ELG+ELG
188,297645,216.5782,1.3844,0.0036,44,6.3,0.3155,47,12.8,G15_Y5_035_224,ELG,ELG,ELG+ELG
227,5304612,347.3888,-31.2849,0.1869,44,8.9,0.5559,47,9.7,G23_Y7_037_074,ELG,ELG,ELG+ELG
48,383053,139.6845,1.9808,0.1891,45,9,0.6712,47,7.6,G09_Y2_028_244,ELG,ELG,ELG+ELG
92,610529,180.542,0.3913,0.2557,45,11.3,0.7006,47,7.3,G12_Y1_END1_355,ELG,ELG,ELG+ELG
101,40642,182.307,-0.7879,0.1837,45,8.6,0.2776,47,12.2,G12_Y1_GS1_256,ELG,ELG,ELG+ELG
135,124295,178.9083,-2.5667,0.1785,45,9.7,0.2798,47,10.6,G12_Y5_002_130,ELG,ELG,ELG+ELG
163,493692,221.9895,-1.3671,0.1468,45,8.5,0.2612,47,13,G15_Y3_008_124,ELG,ELG,ELG+ELG
177,240564,223.1647,1.387,0.2129,45,9.3,0.275,47,6.2,G15_Y3_046_020,ELG,ELG,ELG+ELG
214,5373445,350.9628,-30.2824,0.1629,45,7.2,0.2891,47,8.3,G23_Y7_004_357,ELG,ELG,ELG+ELG
30,3904099,134.0128,-0.9805,0.2175,46,11.5,0.2419,47,6.5,G09_Y1_DS2_068,ELG,ELG,ELG+ELG
55,376767,134.8889,1.5071,0.1761,46,6.7,0.7268,47,7.4,G09_Y3_008_340,ELG,ELG,ELG+ELG
67,3887215,136.6499,-1.592,0.3277,46,7,0.3307,47,6.3,G09_Y4_226_013,ELG,ELG,ELG+ELG
97,185812,181.7806,-1.5484,0.1807,46,9.4,0.3132,47,10.1,G12_Y1_FS2_016,ELG,ELG,ELG+ELG
195,5217528,341.3444,-30.1495,0.2821,46,8.5,0.3114,47,6.8,G23_Y4_013_313,ELG,ELG,ELG+ELG
3,1726233,36.6545,-8.5217,0.1552,47,5.4,0.1844,47,10.3,G02_Y4_001_011,ELG,ELG,ELG+ELG
15,1988308,38.1114,-5.9642,0.2995,47,8.2,0.303,47,7.4,G02_Y5_112_088,ELG,ELG,ELG+ELG
17,2308869,35.9208,-4.0221,0.2375,47,11.2,0.2645,47,10.1,G02_Y5_115_297,ELG,ELG,ELG+ELG
82,53931,175.6952,-0.3144,0.1215,47,13.4,0.1472,47,12,G12_Y1_BN1_134,ELG,ELG,ELG+ELG
175,884103,217.4228,-1.6888,0.018,47,7.4,0.7935,47,8.5,G15_Y3_040_063,ELG,ELG,ELG+ELG
191,343868,222.417,2.1738,0.1211,47,14.4,0.1238,47,7.9,G15_Y6_092_168,ELG,ELG,ELG+ELG
204,5305257,346.6616,-31.1684,0.0682,47,8.9,0.1616,47,12.4,G23_Y5_060_055,ELG,ELG,ELG+ELG
210,5368721,350.6917,-31.3248,0.2642,47,7.3,0.2677,47,5.5,G23_Y5_071_395,ELG,ELG,ELG+ELG
219,5275464,345.9835,-34.1494,0.1066,47,6.8,0.1335,47,6.8,G23_Y7_015_236,ELG,ELG,ELG+ELG
230,5324878,348.466,-32.0645,0.1408,47,12.5,0.1675,47,12.8,G23_Y7_040_139,ELG,ELG,ELG+ELG
235,5303007,347.4189,-31.6435,0.1846,47,6.1,0.2145,47,7.9,G23_Y7_108_073,ELG,ELG,ELG+ELG
