,cataid,ra,dec,z1,template1,cc_sigma,z2,template2,cc_sigma.1,spec_id,t1_type,t2_type,spec_type
87,397097,176.72,1.4861,0.1522,44,6.5,0.1557,40,8.5,G12_Y1_BX2_381,ELG,PG,ELG+PG
139,186085,182.8955,-1.6491,0.2413,44,6.2,0.3802,40,6.7,G12_Y6_052_267,ELG,PG,ELG+PG
167,62459,213.0678,-0.2577,0.1867,44,7.7,0.4239,40,6.5,G15_Y3_016_175,ELG,PG,ELG+PG
222,5201572,339.9558,-33.1315,0.2337,44,5.8,0.3622,40,10.6,G23_Y7_031_066,ELG,PG,ELG+PG
9,1440776,31.983,-4.4134,0.2087,45,6.3,0.6397,40,5.9,G02_Y5_072_295,ELG,PG,ELG+PG
49,372810,137.7971,1.0769,0.2199,45,6.4,0.3006,40,8.9,G09_Y2_037_046,ELG,PG,ELG+PG
61,345984,131.7811,2.1267,0.1385,45,6.1,0.2074,40,5.8,G09_Y3_024_157,ELG,PG,ELG+PG
73,599598,132.0898,0.215,0.118,45,6.4,0.1947,40,5.8,G09_Y5_014_181,ELG,PG,ELG+PG
85,184530,176.7095,-1.4385,0.1564,45,9.7,0.3907,40,10.3,G12_Y1_BS2_395,ELG,PG,ELG+PG
120,185998,182.6006,-1.6102,0.2875,45,7.4,0.4138,40,9,G12_Y2_017_048,ELG,PG,ELG+PG
126,186085,182.8955,-1.6491,0.2412,45,7.6,0.3803,40,7,G12_Y3_014_102,ELG,PG,ELG+PG
181,250796,216.0213,2.1398,0.1322,45,6.4,0.1994,40,10.2,G15_Y4_213_033,ELG,PG,ELG+PG
190,544985,217.8113,-0.9087,0.3995,45,5.4,0.4023,40,8.4,G15_Y6_089_061,ELG,PG,ELG+PG
205,5281142,346.3689,-31.0497,0.088,45,7.5,0.2704,40,8.4,G23_Y5_060_208,ELG,PG,ELG+PG
212,5151771,346.0541,-33.3051,0.1884,45,7,0.2116,40,7.8,G23_Y5_076_117,ELG,PG,ELG+PG
