,ra,dec,z1,z2,spec_type,cataid
89,135.24921,1.89325,0.098,0.217,ELG+PG,382083
90,140.98654,-0.87061,0.157,0.136,ELG+PG,528021
91,132.08975,0.21503000000000003,0.11800000000000001,0.195,ELG+PG,599598
92,132.62096,0.25906999999999997,0.2,0.054000000000000006,ELG+PG,599797
93,138.08767,0.30248,0.053,0.316,ELG+PG,600968
94,129.85478999999998,0.6865899999999999,0.145,0.078,ELG+PG,621991
95,135.8195,-1.34174,0.313,0.452,ELG+PG,3612009
96,132.09767,-0.8527399999999999,0.366,0.24600000000000002,ELG+PG,3624490
97,136.26788,-1.56631,0.22399999999999998,0.284,ELG+PG,3886423
98,139.74903999999998,-1.3061399999999999,0.223,0.226,ELG+PG,3913313
99,179.68421,0.8212799999999999,0.23,0.244,ELG+PG,7907
100,185.08025,0.71944,0.27,0.115,ELG+PG,9156
101,174.87917,-0.66397,0.096,0.439,ELG+PG,39055
102,180.44258,-0.34558,0.239,0.16899999999999998,ELG+PG,55091
103,185.16637,0.20776,0.287,0.259,ELG+PG,71566
104,175.97378999999998,0.48608,0.258,0.284,ELG+PG,84090
105,174.84861999999998,0.90228,0.24100000000000002,0.11,ELG+PG,97836
106,183.07617,-2.50805,0.22399999999999998,0.265,ELG+PG,125217
107,176.11141999999998,-1.7726099999999998,0.39399999999999996,0.24600000000000002,ELG+PG,136782
108,180.50628999999998,-1.6540700000000002,0.267,0.25,ELG+PG,138015
109,181.44675,-2.44182,0.514,0.5670000000000001,ELG+PG,172153
110,176.70954,-1.43849,0.391,0.156,ELG+PG,184530
111,182.60063,-1.61024,0.414,0.28800000000000003,ELG+PG,185998
112,182.89553999999998,-1.64913,0.24100000000000002,0.38,ELG+PG,186085
113,184.85638,-1.53982,0.324,0.265,ELG+PG,186516
114,180.67683,1.56371,0.353,0.228,ELG+PG,220204
115,180.97808,1.4233,0.402,0.23800000000000002,ELG+PG,272828
116,176.71996000000001,1.48606,0.156,0.152,ELG+PG,397097
117,184.95279,-0.87211,0.04,0.20600000000000002,ELG+PG,537363
118,183.83021000000002,-0.19625,0.40399999999999997,0.256,ELG+PG,585644
119,213.06783,-0.25768,0.187,0.424,ELG+PG,62459
120,218.48892,-0.31288,0.40299999999999997,0.214,ELG+PG,64181
121,218.90942,0.12274000000000002,0.218,0.215,ELG+PG,78841
122,216.02125,2.13975,0.19899999999999998,0.132,ELG+PG,250796
123,220.31992000000002,2.41527,0.287,0.027999999999999997,ELG+PG,262626
124,216.94617000000002,2.79181,0.297,0.37799999999999995,ELG+PG,266240
125,213.92687999999998,1.53891,0.16,0.045,ELG+PG,296898
126,221.87658,1.67057,0.358,0.28600000000000003,ELG+PG,321208
127,220.31267000000003,2.92665,0.212,0.098,ELG+PG,367197
128,216.27379,-1.59829,0.289,0.278,ELG+PG,508211
129,223.07412000000002,-1.01726,0.21100000000000002,0.32,ELG+PG,513306
130,217.81128999999999,-0.90871,0.402,0.4,ELG+PG,544985
131,218.38853999999998,-1.00978,0.24100000000000002,0.32299999999999995,ELG+PG,545139
132,220.81617000000003,-0.8877799999999999,0.45,0.21600000000000003,ELG+PG,545712
133,33.6095,-4.23305,0.18100000000000002,0.154,ELG+PG,1217811
